college,major,4_year,5_year,6_year
Anderson Schools of Management,Business Administration,16.67%,37.92%,48.31%
College of Arts and Sciences,Africana Studies,0.00%,0.00%,0.00%
College of Arts and Sciences,American Studies,0.00%,33.33%,66.67%
College of Arts and Sciences,Anthropology,16.67%,31.25%,43.75%
College of Arts and Sciences,Art,0.00%,0.00%,0.00%
College of Arts and Sciences,Asian Studies,0.00%,100.00%,100.00%
College of Arts and Sciences,Astrophysics,9.09%,27.27%,27.27%
College of Arts and Sciences,Biochemistry,17.14%,48.57%,51.43%
College of Arts and Sciences,Biology,14.76%,41.43%,50.00%
College of Arts and Sciences,Chemistry,25.00%,45.83%,50.00%
College of Arts and Sciences,Classical Studies,0.00%,66.67%,66.67%
College of Arts and Sciences,Communication,11.90%,42.86%,57.14%
College of Arts and Sciences,Criminology,20.37%,44.44%,50.93%
College of Arts and Sciences,Earth & Planetary Sciences,5.26%,42.11%,47.37%
College of Arts and Sciences,Economics,40.74%,59.26%,66.67%
College of Arts and Sciences,English,23.75%,43.75%,55.00%
College of Arts and Sciences,English-Philosophy,16.67%,83.33%,83.33%
College of Arts and Sciences,Environmental Science,0.00%,15.79%,21.05%
College of Arts and Sciences,French,50.00%,100.00%,100.00%
College of Arts and Sciences,General Science,0.00%,0.00%,0.00%
College of Arts and Sciences,Geography,12.50%,62.50%,62.50%
College of Arts and Sciences,German,0.00%,33.33%,33.33%
College of Arts and Sciences,"Health,Medicine & Human Values",100.00%,100.00%,100.00%
College of Arts and Sciences,History,20.00%,40.00%,51.11%
College of Arts and Sciences,Interdisciplinary,50.00%,50.00%,50.00%
College of Arts and Sciences,International Studies,10.00%,70.00%,80.00%
College of Arts and Sciences,Journalism,0.00%,0.00%,0.00%
College of Arts and Sciences,Journalism & Mass Comm,19.05%,57.14%,67.86%
College of Arts and Sciences,Languages,12.50%,45.83%,50.00%
College of Arts and Sciences,Latin American Studies,100.00%,100.00%,100.00%
College of Arts and Sciences,Linguistics,27.27%,45.45%,63.64%
College of Arts and Sciences,Mass Communication,0.00%,33.33%,33.33%
College of Arts and Sciences,Mathematics,31.82%,45.45%,54.55%
College of Arts and Sciences,Philosophy,14.29%,47.62%,76.19%
College of Arts and Sciences,Physics,21.43%,21.43%,28.57%
College of Arts and Sciences,Physics & Astrophysics,0.00%,0.00%,0.00%
College of Arts and Sciences,Political Science,25.00%,52.38%,57.14%
College of Arts and Sciences,Portuguese,0.00%,0.00%,0.00%
College of Arts and Sciences,Psychology,15.85%,43.02%,56.23%
College of Arts and Sciences,Religious Studies,42.86%,57.14%,57.14%
College of Arts and Sciences,Russian,0.00%,0.00%,0.00%
College of Arts and Sciences,Signed Language Interpreting,0.00%,50.00%,66.67%
College of Arts and Sciences,Sociology,17.39%,43.48%,63.04%
College of Arts and Sciences,Spanish,8.11%,27.03%,51.35%
College of Arts and Sciences,Speech & Hearing Sciences,41.67%,50.00%,58.33%
College of Arts and Sciences,Statistics,25.00%,25.00%,75.00%
College of Arts and Sciences,Women Studies,0.00%,0.00%,0.00%
College of Education,Art Education,8.33%,16.67%,25.00%
College of Education,Athletic Training,23.53%,29.41%,35.29%
College of Education,Bilingual Education,0.00%,0.00%,0.00%
College of Education,Communicative Arts Composite,0.00%,0.00%,0.00%
College of Education,Early Childhood Multicult Ed,0.00%,40.00%,53.33%
College of Education,Earth Science Education,0.00%,0.00%,0.00%
College of Education,Elementary Education,14.61%,44.94%,52.81%
College of Education,Exercise Science,11.43%,51.43%,58.57%
College of Education,Family Studies,21.21%,60.61%,72.73%
College of Education,Health Education,6.67%,40.00%,60.00%
College of Education,Human Devel & Family Relations,25.00%,50.00%,50.00%
College of Education,Life Science Education,0.00%,0.00%,0.00%
College of Education,Mathematics Education,0.00%,0.00%,0.00%
College of Education,Nutrition/Dietetics,15.79%,42.11%,42.11%
College of Education,Physical Education,0.00%,0.00%,27.27%
College of Education,Physical Science Education,0.00%,0.00%,0.00%
College of Education,Secondary Education,33.33%,76.19%,85.71%
College of Education,Social Studies Education,0.00%,0.00%,25.00%
College of Education,Special Education,33.33%,83.33%,88.89%
College of Education,Theatre,0.00%,0.00%,0.00%
College of Fine Arts,Art History,0.00%,25.00%,50.00%
College of Fine Arts,Art Studio,14.81%,50.00%,59.26%
College of Fine Arts,Dance,11.11%,44.44%,77.78%
College of Fine Arts,Design for Performance,0.00%,37.50%,50.00%
College of Fine Arts,Interdisc Film & Digital Media,0.00%,60.00%,80.00%
College of Fine Arts,Media Arts,17.31%,36.54%,51.92%
College of Fine Arts,Music,6.45%,16.13%,22.58%
College of Fine Arts,Music Education,0.00%,25.00%,43.75%
College of Fine Arts,Pre Art Studio,0.00%,0.00%,0.00%
College of Fine Arts,Pre Dance,0.00%,0.00%,0.00%
College of Fine Arts,Pre Media Arts,0.00%,0.00%,0.00%
College of Fine Arts,Pre Music,0.00%,0.00%,0.00%
College of Fine Arts,Pre Theatre,0.00%,0.00%,0.00%
College of Fine Arts,Theatre,9.09%,31.82%,40.91%
College of Nursing,Nursing,15.08%,23.81%,27.78%
College of Pharmacy,Doctor of Pharmacy,35.71%,46.43%,51.79%
School of Arch. and Planning,Architecture,17.02%,38.30%,46.81%
School of Arch. and Planning,Environmental Design,0.00%,29.41%,64.71%
School of Engineering,Chemical Engineering,26.67%,53.33%,73.33%
School of Engineering,Civil Engineering,7.69%,23.08%,46.15%
School of Engineering,Computer Engineering,5.56%,44.44%,66.67%
School of Engineering,Computer Science,0.00%,10.71%,14.29%
School of Engineering,Construction Management,0.00%,0.00%,71.43%
School of Engineering,Electrical Engineering,21.05%,36.84%,52.63%
School of Engineering,General Engineering,2.70%,2.70%,8.11%
School of Engineering,Mechanical Engineering,12.50%,42.19%,56.25%
School of Engineering,Nuclear Engineering,30.00%,60.00%,70.00%
School of Medicine,Dental Hygiene,6.25%,18.75%,34.38%
School of Medicine,Emergency Medical Services,2.94%,29.41%,35.29%
School of Medicine,Medical Laboratory Sciences,0.00%,12.50%,12.50%
School of Medicine,Physician Assistant Studies,0.00%,0.00%,0.00%
School of Medicine,Radiologic Sciences,0.00%,0.00%,21.43%
University College,Native American Studies,25.00%,75.00%,75.00%
University College,Undecided,0.76%,1.53%,1.53%
University College,University Studies,20.00%,55.00%,65.00%
University Studies,General Studies,0.00%,0.00%,0.00%
University Studies,Liberal Arts,0.00%,0.00%,16.67%